Nama_Lokasi,Jam_Login,Nama,Email,No_Telp,Tahun_Lahir,Merk_Hp,Digital_Interest,Location Type
Bandung,3:44,User_1,user1@gmail.com,87695329652,2002,Redmi,Social Media,Kota
Balikpapan,18:24,User_2,user2@gmail.com,89578827034,1990,Oppo,Streaming,Kota
Yogyakarta,2:58,User_3,user3@gmail.com,88744960621,1996,Oppo,Streaming,Kota
Solo,20:02,User_4,user4@gmail.com,84411528625,1984,Redmi,Gaming,Kota
Jakarta,7:12,User_5,user5@gmail.com,83602433440,1980,Xiaomi,Shopping,Desa
Depok,6:17,User_6,user6@gmail.com,88552052794,1985,Oppo,Shopping,Desa
Yogyakarta,14:08,User_7,user7@gmail.com,87017163228,2006,Redmi,Gaming,Desa
Balikpapan,4:26,User_8,user8@gmail.com,88683832459,1976,Xiaomi,Social Media,Kota
Bekasi,18:45,User_9,user9@gmail.com,81795260077,2004,Xiaomi,Gaming,Kota    
Bekasi,18:06,User_10,user10@gmail.com,87523149644,1971,Oppo,Gaming,Desa                                                    
Jakarta,10:56,User_11,user11@gmail.com,87508922127,1992,Oppo,Shopping,Kota
Semarang,8:26,User_12,user12@gmail.com,88353578410,1987,Redmi,Streaming,Desa
Depok,7:14,User_13,user13@gmail.com,87257658408,2009,Apple,Streaming,Kota
Denpasar,17:51,User_14,user14@gmail.com,82734862835,1974,Xiaomi,Gaming,Kota
Denpasar,19:06,User_15,user15@gmail.com,84014055732,1994,Apple,Streaming,Kota
Surabaya,20:42,User_16,user16@gmail.com,85986717979,2002,Samsung,Gaming,Kota
Semarang,21:46,User_17,user17@gmail.com,89765121863,1990,Oppo,Gaming,Desa
Solo,11:57,User_18,user18@gmail.com,83560394581,1973,Samsung,Social Media,Des
Depok,0:50,User_19,user19@gmail.com,89301264068,1982,Vivo,Shopping,Desa
Denpasar,4:08,User_20,user20@gmail.com,87488984128,1983,Oppo,Streaming,Kota
Yogyakarta,3:00,User_21,user21@gmail.com,88783332588,1976,Samsung,Shopping,Kota
Surabaya,7:29,User_22,user22@gmail.com,81315741158,1970,Redmi,Shopping,Kota
Bekasi,21:25,User_23,user23@gmail.com,86361191409,2010,Vivo,Streaming,Desa
